ASIN,Category,Latest BSR,Last Day BSR
B09TNBCM4Q,Home & Kitchen,63790.0,55431.0
B09TNBCM4Q,Air Conditioners,102.0,100.0
B09TNBCM4Q,Large Appliances,1795.0,1551.0
B08X2Q1C58,Home & Kitchen,417158.0,408213.0
B08X2Q1C58,Air Conditioners,555.0,538.0
B09SGNCGFK,Home & Kitchen,27043.0,21348.0
B09SGNCGFK,Air Conditioners,58.0,55.0
B09SGNCGFK,Large Appliances,946.0,760.0
B09SGN2N8P,Home & Kitchen,50105.0,30258.0
B09SGN2N8P,Air Conditioners,82.0,70.0
B09SGN2N8P,Large Appliances,1490.0,984.0
B09W3RF92L,Home & Kitchen,309037.0,303471.0
B09W3RF92L,Air Conditioners,396.0,387.0
B09SGQB576,Home & Kitchen,77530.0,44396.0
B09SGQB576,Air Conditioners,114.0,87.0
B09SGQB576,Large Appliances,2094.0,1320.0
B09SGMJD2P,Home & Kitchen,37855.0,16230.0
B09SGMJD2P,Air Conditioners,68.0,42.0
B08V8FN59W,Home & Kitchen,10203.0,9281.0
B08V8FN59W,Air Conditioners,30.0,23.0
B09TNKLD47,Home & Kitchen,2494.0,3058.0
B09TNKLD47,Air Conditioners,4.0,7.0
B09TNKLD47,Large Appliances,100.0,125.0
B08V8J5N7P,Home & Kitchen,309801.0,307045.0
B08V8J5N7P,Air Conditioners,397.0,395.0
B09VLD3C63,Home & Kitchen,420947.0,410962.0
B09VLD3C63,Air Conditioners,562.0,545.0
B085CKNJ62,Home & Kitchen,421769.0,418230.0
B085CKNJ62,Air Conditioners,565.0,562.0
B09P5NCP8L,Home & Kitchen,16807.0,21202.0
B09P5NCP8L,Air Conditioners,43.0,52.0
B09P5NCP8L,Large Appliances,634.0,757.0
B09SGNMD7R,Home & Kitchen,10203.0,9281.0
B09SGNMD7R,Air Conditioners,30.0,23.0
B09TNS6Y93,Home & Kitchen,249084.0,228265.0
B09TNS6Y93,Air Conditioners,303.0,280.0
B089WBWNS1,Home & Kitchen,190351.0,177060.0
B089WBWNS1,Air Conditioners,223.0,215.0
B07DB7HWZC,Home & Kitchen,174100.0,132155.0
B07DB7HWZC,Air Conditioners,200.0,169.0
B08TB54NGQ,Home & Kitchen,90264.0,49268.0
B08TB54NGQ,Air Conditioners,123.0,95.0
B08TB54NGQ,Large Appliances,2376.0,1428.0
B08SW4FYZM,Home & Kitchen,9707.0,6283.0
B08SW4FYZM,Air Conditioners,27.0,16.0
B08SW4FYZM,Large Appliances,378.0,255.0
B089D2666Q,Home & Kitchen,118980.0,103312.0
B089D2666Q,Air Conditioners,144.0,143.0
B09WDMFCQT,Home & Kitchen,331287.0,321012.0
B09WDMFCQT,Air Conditioners,427.0,411.0
B079MNPXH7,Home & Kitchen,124391.0,121488.0
B079MNPXH7,Air Conditioners,148.0,161.0
B079MNPXH7,Large Appliances,3116.0,3028.0
B09G391BM1,Home & Kitchen,5504.0,5385.0
B09G391BM1,Air Conditioners,13.0,12.0
B09G391BM1,Large Appliances,227.0,209.0
B079MD9LHP,Home & Kitchen,6374.0,5849.0
B079MD9LHP,Air Conditioners,22.0,22.0
B07XV1CXHQ,Home & Kitchen,7628.0,12374.0
B07XV1CXHQ,Air Conditioners,21.0,31.0
B09SGLJVLS,Home & Kitchen,12490.0,34640.0
B09SGLJVLS,Air Conditioners,33.0,75.0
B09SGLJVLS,Large Appliances,488.0,1092.0
B084Q7JW2J,Home & Kitchen,150238.0,140695.0
B084Q7JW2J,Air Conditioners,177.0,179.0
B079PW7PMC,Home & Kitchen,177949.0,172652.0
B079PW7PMC,Air Conditioners,208.0,211.0
B079PW7PMC,Large Appliances,4208.0,4087.0
B0B1BYQ8XP,Home & Kitchen,374329.0,362107.0
B0B1BYQ8XP,Air Conditioners,486.0,474.0
B08WLPZBG8,Home & Kitchen,157712.0,153758.0
B08WLPZBG8,Air Conditioners,184.0,197.0
B09RFX1NKP,Home & Kitchen,68895.0,84500.0
B09RFX1NKP,Air Conditioners,106.0,130.0
B09RFX1NKP,Large Appliances,1897.0,2210.0
B089QD4PDH,Home & Kitchen,141914.0,104918.0
B089QD4PDH,Air Conditioners,163.0,145.0
B00LWRFC1W,Home & Kitchen,30554.0,20704.0
B00LWRFC1W,Air Conditioners,63.0,50.0
B00LWRFC1W,Large Appliances,1032.0,741.0
B08WLPN5TQ,Home & Kitchen,205162.0,202238.0
B08WLPN5TQ,Air Conditioners,238.0,244.0
B07NZNVN78,Home & Kitchen,74248.0,84267.0
B07NZNVN78,Air Conditioners,111.0,128.0
B07NZNVN78,Large Appliances,2009.0,2204.0
B09RG2SZVX,Home & Kitchen,10078.0,10219.0
B09RG2SZVX,Air Conditioners,29.0,27.0
B09RFDT8XR,Home & Kitchen,101657.0,110891.0
B09RFDT8XR,Air Conditioners,130.0,153.0
B09RG461YQ,Home & Kitchen,5081.0,9483.0
B09RG461YQ,Air Conditioners,11.0,25.0
B09RG461YQ,Large Appliances,213.0,367.0
B0843GL3NT,Home & Kitchen,233816.0,230536.0
B0843GL3NT,Air Conditioners,279.0,283.0
B09P79533V,Home & Kitchen,192272.0,186931.0
B09P79533V,Air Conditioners,226.0,227.0
B09RFD8SW4,Home & Kitchen,80452.0,153340.0
B09RFD8SW4,Air Conditioners,117.0,196.0
B09RFSMC58,Home & Kitchen,664760.0,649525.0
B09RFSMC58,Air Conditioners,834.0,823.0
B09RDSZVGV,Home & Kitchen,6497.0,6955.0
B09RDSZVGV,Air Conditioners,17.0,20.0
B09RDSZVGV,Large Appliances,266.0,275.0
B09RFCGW4X,Home & Kitchen,8405.0,5907.0
B09RFCGW4X,LED Bulbs,154.0,115.0
B0876SVTN8,Home & Kitchen,145171.0,103361.0
B0876SVTN8,Air Conditioners,170.0,144.0
B08XZKDGCM,Home & Kitchen,229768.0,226970.0
B08XZKDGCM,Air Conditioners,272.0,276.0
B08WLNTLH1,Home & Kitchen,230874.0,228145.0
B08WLNTLH1,Air Conditioners,275.0,279.0
B09R29RSFH,Home & Kitchen,2506.0,2008.0
B09R29RSFH,Air Conditioners,5.0,3.0
B09R29RSFH,Large Appliances,101.0,76.0
B09RN6WQHF,Home & Kitchen,118411.0,47054.0
B09RN6WQHF,Air Conditioners,143.0,93.0
B09RN6WQHF,Large Appliances,2980.0,1385.0
B09RP8GB52,Home & Kitchen,34922.0,76947.0
B09RP8GB52,Air Conditioners,66.0,122.0
B09RP8GB52,Large Appliances,1146.0,2045.0
B09R3XHPVZ,Home & Kitchen,5881.0,6858.0
B09R3XHPVZ,Air Conditioners,14.0,19.0
B09R3XHPVZ,Large Appliances,239.0,272.0
B09R248ZWX,Home & Kitchen,5993.0,5478.0
B09R248ZWX,Air Conditioners,15.0,14.0
B09R248ZWX,Large Appliances,246.0,228.0
B09R4G1ZNJ,Home & Kitchen,33501.0,24438.0
B09R4G1ZNJ,Air Conditioners,65.0,59.0
B09TJBPHZR,Home & Kitchen,364511.0,348692.0
B09TJBPHZR,Air Conditioners,475.0,459.0
B09R45Q5WP,Home & Kitchen,82303.0,32911.0
B09R45Q5WP,Air Conditioners,121.0,73.0
B09R45Q5WP,Large Appliances,2192.0,1052.0
B09RKBM3XV,Home & Kitchen,55241.0,39750.0
B09RKBM3XV,Air Conditioners,94.0,84.0
B09R3T1QLW,Home & Kitchen,21282.0,27859.0
B09R3T1QLW,Air Conditioners,51.0,63.0
B09R3T1QLW,Large Appliances,754.0,927.0
B09R3S2NG6,Home & Kitchen,33019.0,18463.0
B09R3S2NG6,Air Conditioners,64.0,46.0
B09RP38FBT,Home & Kitchen,143336.0,117037.0
B09RP38FBT,Air Conditioners,166.0,158.0
B09RP38FBT,Large Appliances,3511.0,2916.0
B09TJCL73K,Home & Kitchen,401642.0,385719.0
B09TJCL73K,Air Conditioners,527.0,508.0
B09R4DDVQV,Home & Kitchen,21002.0,29118.0
B09R4DDVQV,Air Conditioners,50.0,66.0
B08Y8YV1RC,Home & Kitchen,62162.0,28908.0
B08Y8YV1RC,Air Conditioners,100.0,64.0
B09RK911MP,Home & Kitchen,382497.0,367534.0
B09RK911MP,Air Conditioners,496.0,482.0
B09RN3YRS6,Home & Kitchen,41829.0,72442.0
B09RN3YRS6,Air Conditioners,76.0,119.0
B09RPFQ8Z5,Home & Kitchen,23102.0,17733.0
B09RPFQ8Z5,Air Conditioners,53.0,45.0
B09ZB69182,Home & Kitchen,115131.0,38527.0
B09ZB69182,Air Conditioners,141.0,82.0
B09SD9RX33,Home & Kitchen,370399.0,361742.0
B09SD9RX33,Air Conditioners,482.0,473.0
B08Z47LWL4,Home & Kitchen,17567.0,11703.0
B08Z47LWL4,Air Conditioners,45.0,30.0
B08Z47WSKK,Home & Kitchen,75275.0,24975.0
B08Z47WSKK,Air Conditioners,113.0,60.0
B08KWF94JG,Home & Kitchen,148900.0,85855.0
B08KWF94JG,Air Conditioners,173.0,132.0
B08KWF94JG,Large Appliances,3629.0,2241.0
B084QSD48P,Home & Kitchen,156560.0,152627.0
B084QSD48P,Air Conditioners,182.0,194.0
B079W5J4QT,Home & Kitchen,498686.0,495225.0
B079W5J4QT,Air Conditioners,659.0,654.0
B08518FPX9,Home & Kitchen,296703.0,293934.0
B08518FPX9,Air Conditioners,376.0,374.0
B08518FPX9,Large Appliances,6643.0,6536.0
B09WDTYJ54,Home & Kitchen,28033.0,26458.0
B09WDTYJ54,Air Conditioners,59.0,63.0
B09WDSTF8T,Home & Kitchen,139729.0,65306.0
B09WDSTF8T,Air Conditioners,159.0,112.0
B09WDSTF8T,Large Appliances,3436.0,1769.0
B09SDDT77Y,Home & Kitchen,121903.0,57997.0
B09SDDT77Y,Air Conditioners,146.0,104.0
B08Z47KQXM,Home & Kitchen,287114.0,277629.0
B08Z47KQXM,Air Conditioners,361.0,348.0
B08H7X6W8P,Home & Kitchen,106850.0,263121.0
B08H7X6W8P,Air Conditioners,135.0,328.0
B07NQJW8X3,Home & Kitchen,288653.0,286657.0
B07NQJW8X3,Air Conditioners,364.0,361.0
B09R4RTJ2B,Home & Kitchen,185620.0,156996.0
B09R4RTJ2B,Air Conditioners,219.0,201.0
B09R4RTJ2B,Large Appliances,4368.0,3770.0
B08Y8Z3PLL,Home & Kitchen,197958.0,187147.0
B08Y8Z3PLL,Air Conditioners,232.0,228.0
B07QMBVPGY,Home & Kitchen,146075.0,143248.0
B07QMBVPGY,Air Conditioners,171.0,184.0
B07QMBVPGY,Large Appliances,3568.0,3481.0
B09R4SF5SP,Home & Kitchen,5035.0,7415.0
B09R4SF5SP,Air Conditioners,9.0,21.0
B09R4SF5SP,Large Appliances,210.0,292.0
B09SW6XS13,Home & Kitchen,177944.0,150040.0
B09SW6XS13,Air Conditioners,207.0,191.0
B09R9RQZ9L,Home & Kitchen,131136.0,61853.0
B09R9RQZ9L,Air Conditioners,152.0,109.0
B09R4R2L76,Home & Kitchen,137254.0,114794.0
B09R4R2L76,Air Conditioners,157.0,157.0
B09R4R2L76,Large Appliances,3390.0,2858.0
B09SW8FP11,Home & Kitchen,5500.0,4931.0
B09SW8FP11,Air Conditioners,12.0,12.0
B09SW8FP11,Large Appliances,226.0,206.0
B09SW7PK5L,Home & Kitchen,107724.0,111839.0
B09SW7PK5L,Air Conditioners,138.0,153.0
B09R4QLDWK,Home & Kitchen,39698.0,39254.0
B09R4QLDWK,Air Conditioners,72.0,83.0
B09R4QLDWK,Large Appliances,1251.0,1206.0
B09R9RDNNH,Home & Kitchen,13856.0,15763.0
B09R9RDNNH,Air Conditioners,38.0,39.0
B09R9RDNNH,Large Appliances,542.0,568.0
B09R4RZB11,Home & Kitchen,103614.0,69994.0
B09R4RZB11,Air Conditioners,131.0,115.0
B09R4RZB11,Large Appliances,2659.0,1889.0
B09SW7RWSD,Home & Kitchen,82263.0,107533.0
B09SW7RWSD,Air Conditioners,120.0,148.0
B08BTJL4CT,Home & Kitchen,230362.0,227558.0
B08BTJL4CT,Air Conditioners,274.0,278.0
B09R4QY15Z,Home & Kitchen,216453.0,192557.0
B09R4QY15Z,Air Conditioners,252.0,232.0
B09R4QY15Z,Large Appliances,5032.0,4470.0
B09R4RVTMT,Home & Kitchen,237276.0,225104.0
B09R4RVTMT,Air Conditioners,285.0,271.0
B09R4RVTMT,Large Appliances,5437.0,5105.0
B09R4RFRFY,Home & Kitchen,53682.0,158138.0
B09R4RFRFY,Air Conditioners,89.0,204.0
B09R4RFRFY,Large Appliances,1581.0,3790.0
B09WV7FRZW,Home & Kitchen,7876.0,4966.0
B09WV7FRZW,Air Conditioners,23.0,13.0
B09NS54RPJ,Home & Kitchen,1851.0,2266.0
B09NS54RPJ,Air Conditioners,3.0,5.0
B09NS54RPJ,Large Appliances,71.0,88.0
B09NS6SS7T,Home & Kitchen,68078.0,26561.0
B09NS6SS7T,Air Conditioners,104.0,62.0
B07KRBW7X8,Home & Kitchen,175495.0,152200.0
B07KRBW7X8,Air Conditioners,203.0,192.0
B09NS5CBC5,Home & Kitchen,7827.0,8348.0
B09NS5CBC5,Air Conditioners,22.0,22.0
B09NS5CBC5,Large Appliances,314.0,330.0
B09NS5B6TP,Home & Kitchen,18198.0,15050.0
B09NS5B6TP,Air Conditioners,47.0,38.0
B09NS5TKPN,Home & Kitchen,1120.0,816.0
B09NS5TKPN,Air Conditioners,1.0,1.0
B09NS5TKPN,Large Appliances,44.0,28.0
B09NS59LJV,Home & Kitchen,1746.0,1670.0
B09NS59LJV,Air Conditioners,2.0,2.0
B09NS59LJV,Large Appliances,64.0,63.0
B09PZ1GZ8R,Home & Kitchen,68423.0,37488.0
B09PZ1GZ8R,Air Conditioners,105.0,80.0
B082TGK3K8,Home & Kitchen,26660.0,21531.0
B082TGK3K8,Air Conditioners,57.0,56.0
B09NS4BRK3,Home & Kitchen,120591.0,91236.0
B09NS4BRK3,Air Conditioners,145.0,136.0
B09NS4BRK3,Large Appliances,3039.0,2347.0
B09NS5K7HF,Home & Kitchen,1120.0,816.0
B09NS5K7HF,Air Conditioners,1.0,1.0
B09NS5K7HF,Large Appliances,44.0,28.0
B09WRG7HDV,Home & Kitchen,3394.0,2103.0
B09WRG7HDV,Air Conditioners,6.0,4.0
B09WRG7HDV,Large Appliances,138.0,78.0
B09NS5Y4BG,Home & Kitchen,3394.0,2103.0
B09NS5Y4BG,Air Conditioners,6.0,4.0
B09NS5Y4BG,Large Appliances,138.0,78.0
B085P7F3X3,Home & Kitchen,225974.0,223027.0
B085P7F3X3,Air Conditioners,267.0,269.0
B09NS5G1F9,Home & Kitchen,51663.0,18809.0
B09NS5G1F9,Air Conditioners,87.0,47.0
B09NS6KFP1,Home & Kitchen,12962.0,14459.0
B09NS6KFP1,Air Conditioners,35.0,37.0
B09NS6KFP1,Large Appliances,505.0,527.0
B085P7Q8VG,Home & Kitchen,341050.0,338921.0
B085P7Q8VG,Air Conditioners,444.0,444.0
B085P835T8,Home & Kitchen,215579.0,212847.0
B085P835T8,Air Conditioners,249.0,258.0
B085P8BMRR,Home & Kitchen,780755.0,776768.0
B085P8BMRR,Air Conditioners,941.0,940.0
B085P8BMRF,Home & Kitchen,386775.0,384896.0
B085P8BMRF,Air Conditioners,508.0,506.0
B085P8BMS3,Home & Kitchen,543413.0,527054.0
B085P8BMS3,Air Conditioners,707.0,689.0
B085P7FKSJ,Home & Kitchen,697421.0,695128.0
B085P7FKSJ,Air Conditioners,865.0,863.0
B09RG55LZX,Home & Kitchen,19042.0,37487.0
B09RG55LZX,Air Conditioners,48.0,79.0
