ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Availability
TLCGD8GGUBH8CN8V,2022-11-07,,,,,
TLCGD8GGUBH8CN8V,2022-11-08,230.0,,470.0,,1.0
TLCGD8GGUBH8CN8V,2022-11-09,230.0,230.0,,470.0,1.0
TLCFPF4F9DHMKZDF,2022-11-07,,,,,
TLCFPF4F9DHMKZDF,2022-11-08,160.0,,187.0,,1.0
TLCFPF4F9DHMKZDF,2022-11-09,160.0,160.0,187.0,187.0,1.0
TLCFSDFBHCMAAD4M,2022-11-07,,,,,
TLCFSDFBHCMAAD4M,2022-11-08,1138.0,,429.0,,1.0
TLCFSDFBHCMAAD4M,2022-11-09,1138.0,1138.0,438.0,429.0,1.0
TLCGDF88NEBZGH7H,2022-11-07,,,,,
TLCGDF88NEBZGH7H,2022-11-08,223.0,,652.0,,1.0
TLCGDF88NEBZGH7H,2022-11-09,217.0,223.0,514.0,652.0,1.0
TLCFSDEH6SU7CVHC,2022-11-07,,,,,
TLCFSDEH6SU7CVHC,2022-11-08,115.0,,556.0,,1.0
TLCFSDEH6SU7CVHC,2022-11-09,115.0,115.0,,556.0,1.0
TLCG4S4ZWBQAZNGA,2022-11-07,,,,,
TLCG4S4ZWBQAZNGA,2022-11-08,270.0,,151.0,,1.0
TLCG4S4ZWBQAZNGA,2022-11-09,270.0,270.0,124.0,151.0,1.0
TLCFRQBWCDTBKK54,2022-11-07,,,,,
TLCFRQBWCDTBKK54,2022-11-08,309.0,,,,1.0
TLCFRQBWCDTBKK54,2022-11-09,309.0,309.0,,,1.0
TLCFTZCKXJDFVWQP,2022-11-07,,,,,
TLCFTZCKXJDFVWQP,2022-11-08,170.0,,221.0,,1.0
TLCFTZCKXJDFVWQP,2022-11-09,170.0,170.0,219.0,221.0,1.0
TLCG73JYENANDESM,2022-11-07,,,,,
TLCG73JYENANDESM,2022-11-08,275.0,,408.0,,1.0
TLCG73JYENANDESM,2022-11-09,275.0,275.0,,408.0,1.0
TLCGB9W2HFHZRE8H,2022-11-07,,,,,
TLCGB9W2HFHZRE8H,2022-11-08,278.0,,1076.0,,1.0
TLCGB9W2HFHZRE8H,2022-11-09,278.0,278.0,1076.0,1076.0,1.0
TLCF4D7765BAQBFF,2022-11-07,,,,,
TLCF4D7765BAQBFF,2022-11-08,230.0,,,,1.0
TLCF4D7765BAQBFF,2022-11-09,230.0,230.0,,,1.0
TLCG4QCPHNAXQ9U4,2022-11-07,,,,,
TLCG4QCPHNAXQ9U4,2022-11-08,345.0,,407.0,,1.0
TLCG4QCPHNAXQ9U4,2022-11-09,345.0,345.0,417.0,407.0,1.0
TLCFSDEHWE2RTRGG,2022-11-07,,,,,
TLCFSDEHWE2RTRGG,2022-11-08,160.0,,871.0,,1.0
TLCFSDEHWE2RTRGG,2022-11-09,160.0,160.0,877.0,871.0,1.0
TLCGETGWUMZBF32Y,2022-11-07,,,,,
TLCGETGWUMZBF32Y,2022-11-08,178.0,,998.0,,1.0
TLCGETGWUMZBF32Y,2022-11-09,178.0,178.0,998.0,998.0,1.0
TLCGH6PGMNGWW2PK,2022-11-07,,,,,
TLCGH6PGMNGWW2PK,2022-11-08,270.0,,887.0,,1.0
TLCGH6PGMNGWW2PK,2022-11-09,270.0,270.0,887.0,887.0,1.0
TLCFSDENYGTMKT8Y,2022-11-07,,,,,
TLCFSDENYGTMKT8Y,2022-11-08,261.0,,183.0,,1.0
TLCFSDENYGTMKT8Y,2022-11-09,390.0,261.0,183.0,183.0,1.0
TLCG27XKGCUDSKUA,2022-11-07,,,,,
TLCG27XKGCUDSKUA,2022-11-08,280.0,,462.0,,1.0
TLCG27XKGCUDSKUA,2022-11-09,280.0,280.0,462.0,462.0,1.0
TLCF4D8MAGTRGKZ5,2022-11-07,,,,,
TLCF4D8MAGTRGKZ5,2022-11-08,228.0,,,,1.0
TLCF4D8MAGTRGKZ5,2022-11-09,228.0,228.0,,,1.0
TLCFUGXYUFMKZKCK,2022-11-07,,,,,
TLCFUGXYUFMKZKCK,2022-11-08,305.0,,196.0,,1.0
TLCFUGXYUFMKZKCK,2022-11-09,305.0,305.0,196.0,196.0,1.0
TLCFE7KUSQHMWWGE,2022-11-07,,,,,
TLCFE7KUSQHMWWGE,2022-11-08,115.0,,139.0,,1.0
TLCFE7KUSQHMWWGE,2022-11-09,115.0,115.0,109.0,139.0,1.0
TLCFSYGXUCED8DQG,2022-11-07,,,,,
TLCFSYGXUCED8DQG,2022-11-08,230.0,,,,1.0
TLCFSYGXUCED8DQG,2022-11-09,230.0,230.0,,,1.0
TLCG27XTJFAQ3SHR,2022-11-07,,,,,
TLCG27XTJFAQ3SHR,2022-11-08,278.0,,416.0,,1.0
TLCG27XTJFAQ3SHR,2022-11-09,278.0,278.0,416.0,416.0,1.0
TLCFPF4DCWXYJAGV,2022-11-07,,,,,
TLCFPF4DCWXYJAGV,2022-11-08,115.0,,648.0,,1.0
TLCFPF4DCWXYJAGV,2022-11-09,115.0,115.0,569.0,648.0,1.0
TLCFSDEGHD8T6EPH,2022-11-07,,,,,
TLCFSDEGHD8T6EPH,2022-11-08,115.0,,647.0,,1.0
TLCFSDEGHD8T6EPH,2022-11-09,115.0,115.0,694.0,647.0,1.0
TLCGHY4JKSS4MCHA,2022-11-07,,,,,
TLCGHY4JKSS4MCHA,2022-11-08,270.0,,,,1.0
TLCGHY4JKSS4MCHA,2022-11-09,270.0,270.0,,,1.0
TLCGD4CCFD84JHFP,2022-11-07,,,,,
TLCGD4CCFD84JHFP,2022-11-08,115.0,,316.0,,1.0
TLCGD4CCFD84JHFP,2022-11-09,115.0,115.0,248.0,316.0,1.0
TLCG5PRXTSHHUHDR,2022-11-07,,,,,
TLCG5PRXTSHHUHDR,2022-11-08,115.0,,371.0,,1.0
TLCG5PRXTSHHUHDR,2022-11-09,115.0,115.0,409.0,371.0,1.0
TLCGCHF5HQJ7U3WZ,2022-11-07,,,,,
TLCGCHF5HQJ7U3WZ,2022-11-08,345.0,,,,1.0
TLCGCHF5HQJ7U3WZ,2022-11-09,345.0,345.0,,,1.0
TLCGD6RM63V8QD9H,2022-11-07,,,,,
TLCGD6RM63V8QD9H,2022-11-08,260.0,,357.0,,1.0
TLCGD6RM63V8QD9H,2022-11-09,260.0,260.0,357.0,357.0,1.0
TLCFUXXFZHBZXFRD,2022-11-07,,,,,
TLCFUXXFZHBZXFRD,2022-11-08,345.0,,402.0,,1.0
TLCFUXXFZHBZXFRD,2022-11-09,345.0,345.0,486.0,402.0,1.0
TLCG4QCJVDVH72JY,2022-11-07,,,,,
TLCG4QCJVDVH72JY,2022-11-08,399.0,,468.0,,1.0
TLCG4QCJVDVH72JY,2022-11-09,399.0,399.0,489.0,468.0,1.0
TLCG4S55TSDVSARP,2022-11-07,,,,,
TLCG4S55TSDVSARP,2022-11-08,258.0,,562.0,,1.0
TLCG4S55TSDVSARP,2022-11-09,258.0,258.0,728.0,562.0,1.0
TLCGDZESYH3ZDYZV,2022-11-07,,,,,
TLCGDZESYH3ZDYZV,2022-11-08,230.0,,412.0,,1.0
TLCGDZESYH3ZDYZV,2022-11-09,230.0,230.0,,412.0,1.0
TLCGCQVM5H24GMMX,2022-11-07,,,,,
TLCGCQVM5H24GMMX,2022-11-08,170.0,,471.0,,1.0
TLCGCQVM5H24GMMX,2022-11-09,170.0,170.0,471.0,471.0,1.0
TLCETFVXNGBVKHWV,2022-11-07,,,,,
TLCETFVXNGBVKHWV,2022-11-08,115.0,,,,1.0
TLCETFVXNGBVKHWV,2022-11-09,115.0,115.0,,,1.0
TLCFUGSP9VJGFGAF,2022-11-07,,,,,
TLCFUGSP9VJGFGAF,2022-11-08,266.0,,1067.0,,1.0
TLCFUGSP9VJGFGAF,2022-11-09,239.0,266.0,1067.0,1067.0,1.0
TLCFSDEZUYPE36SQ,2022-11-07,,,,,
TLCFSDEZUYPE36SQ,2022-11-08,845.0,,885.0,,1.0
TLCFSDEZUYPE36SQ,2022-11-09,845.0,845.0,777.0,885.0,1.0
TLCG4QCM274ZHAFJ,2022-11-07,,,,,
TLCG4QCM274ZHAFJ,2022-11-08,415.0,,438.0,,1.0
TLCG4QCM274ZHAFJ,2022-11-09,415.0,415.0,418.0,438.0,1.0
TLCFUXS4WKRJ73W4,2022-11-07,,,,,
TLCFUXS4WKRJ73W4,2022-11-08,305.0,,264.0,,1.0
TLCFUXS4WKRJ73W4,2022-11-09,305.0,305.0,194.0,264.0,1.0
TLCG94SJHMDDMJYS,2022-11-07,,,,,
TLCG94SJHMDDMJYS,2022-11-08,356.0,,96.0,,1.0
TLCG94SJHMDDMJYS,2022-11-09,356.0,356.0,96.0,96.0,1.0
TLCGFGXYJFAEUNXY,2022-11-07,,,,,
TLCGFGXYJFAEUNXY,2022-11-08,365.0,,,,1.0
TLCGFGXYJFAEUNXY,2022-11-09,365.0,365.0,,,1.0
TLCGB9Q2RS7HPGHH,2022-11-07,,,,,
TLCGB9Q2RS7HPGHH,2022-11-08,209.0,,104.0,,1.0
TLCGB9Q2RS7HPGHH,2022-11-09,210.0,209.0,104.0,104.0,1.0
TLCEUHM7P6X5HZXT,2022-11-07,,,,,
TLCEUHM7P6X5HZXT,2022-11-08,180.0,,72.0,,1.0
TLCEUHM7P6X5HZXT,2022-11-09,180.0,180.0,20.0,72.0,1.0
TLCGB9Q2BYTGR2WR,2022-11-07,,,,,
TLCGB9Q2BYTGR2WR,2022-11-08,210.0,,,,1.0
TLCGB9Q2BYTGR2WR,2022-11-09,210.0,210.0,,,1.0
TLCGFGVSTK3UBD5E,2022-11-07,,,,,
TLCGFGVSTK3UBD5E,2022-11-08,240.0,,547.0,,1.0
TLCGFGVSTK3UBD5E,2022-11-09,240.0,240.0,547.0,547.0,1.0
TLCGFGXYYH5NRTUG,2022-11-07,,,,,
TLCGFGXYYH5NRTUG,2022-11-08,358.0,,649.0,,1.0
TLCGFGXYYH5NRTUG,2022-11-09,358.0,358.0,649.0,649.0,1.0
TLCFSUHFAGGHZQUW,2022-11-07,,,,,
TLCFSUHFAGGHZQUW,2022-11-08,186.0,,82.0,,1.0
TLCFSUHFAGGHZQUW,2022-11-09,186.0,186.0,38.0,82.0,1.0
TLCGFYBQ28T36XDY,2022-11-07,,,,,
TLCGFYBQ28T36XDY,2022-11-08,160.0,,456.0,,1.0
TLCGFYBQ28T36XDY,2022-11-09,160.0,160.0,358.0,456.0,1.0
TLCGFGVG93FYH7JG,2022-11-07,,,,,
TLCGFGVG93FYH7JG,2022-11-08,240.0,,,,1.0
TLCGFGVG93FYH7JG,2022-11-09,240.0,240.0,,,1.0
TLCFH56FJWZ4MBYG,2022-11-07,,,,,
TLCFH56FJWZ4MBYG,2022-11-08,179.0,,108.0,,1.0
TLCFH56FJWZ4MBYG,2022-11-09,179.0,179.0,59.0,108.0,1.0
TLCG8WZFHRA58QNM,2022-11-07,,,,,
TLCG8WZFHRA58QNM,2022-11-08,269.0,,314.0,,1.0
TLCG8WZFHRA58QNM,2022-11-09,269.0,269.0,314.0,314.0,1.0
TLCGFCKFZ8RD68NB,2022-11-07,,,,,
TLCGFCKFZ8RD68NB,2022-11-08,249.0,,,,1.0
TLCGFCKFZ8RD68NB,2022-11-09,249.0,249.0,,,1.0
TLCFYYVFYJJGMRCT,2022-11-07,,,,,
TLCFYYVFYJJGMRCT,2022-11-08,199.0,,485.0,,1.0
TLCFYYVFYJJGMRCT,2022-11-09,199.0,199.0,485.0,485.0,1.0
TLCGBWPDW9QBYGCW,2022-11-07,,,,,
TLCGBWPDW9QBYGCW,2022-11-08,375.0,,,,1.0
TLCGBWPDW9QBYGCW,2022-11-09,375.0,375.0,,,1.0
TLCFMYQPZEZZ7HKM,2022-11-07,,,,,
TLCFMYQPZEZZ7HKM,2022-11-08,287.0,,284.0,,1.0
TLCFMYQPZEZZ7HKM,2022-11-09,287.0,287.0,284.0,284.0,1.0
TLCGCXFYRBGZHSAG,2022-11-07,,,,,
TLCGCXFYRBGZHSAG,2022-11-08,261.0,,,,1.0
TLCGCXFYRBGZHSAG,2022-11-09,261.0,261.0,,,1.0
TLCG27ZRVQJCAGH6,2022-11-07,,,,,
TLCG27ZRVQJCAGH6,2022-11-08,255.0,,375.0,,1.0
TLCG27ZRVQJCAGH6,2022-11-09,255.0,255.0,288.0,375.0,1.0
TLCGBWPDHCZXJDKM,2022-11-07,,,,,
TLCGBWPDHCZXJDKM,2022-11-08,247.0,,134.0,,1.0
TLCGBWPDHCZXJDKM,2022-11-09,247.0,247.0,86.0,134.0,1.0
TLCGCXGEJJCKHRVG,2022-11-07,,,,,
TLCGCXGEJJCKHRVG,2022-11-08,284.0,,938.0,,1.0
TLCGCXGEJJCKHRVG,2022-11-09,284.0,284.0,938.0,938.0,1.0
TLCG2HDH6YH5BXKD,2022-11-07,,,,,
TLCG2HDH6YH5BXKD,2022-11-08,198.0,,202.0,,1.0
TLCG2HDH6YH5BXKD,2022-11-09,190.0,198.0,,202.0,1.0
TLCG2S55AAPGGUPH,2022-11-07,,,,,
TLCG2S55AAPGGUPH,2022-11-08,999.0,,827.0,,1.0
TLCG2S55AAPGGUPH,2022-11-09,999.0,999.0,726.0,827.0,1.0
TLCGF5FYWQZZXEWY,2022-11-07,,,,,
TLCGF5FYWQZZXEWY,2022-11-08,283.0,,468.0,,1.0
TLCGF5FYWQZZXEWY,2022-11-09,268.0,283.0,,468.0,1.0
TLCG2S5FYC8WPBYA,2022-11-07,,,,,
TLCG2S5FYC8WPBYA,2022-11-08,978.0,,271.0,,1.0
TLCG2S5FYC8WPBYA,2022-11-09,978.0,978.0,271.0,271.0,1.0
TLCGYP9UGMYDZRDG,2022-11-07,,,,,
TLCGYP9UGMYDZRDG,2022-11-08,201.0,,161.0,,1.0
TLCGYP9UGMYDZRDG,2022-11-09,201.0,201.0,194.0,161.0,1.0
TLCGYQDZZZHTYVHW,2022-11-07,,,,,
TLCGYQDZZZHTYVHW,2022-11-08,280.0,,,,1.0
TLCGYQDZZZHTYVHW,2022-11-09,280.0,280.0,,,1.0
TLCG2HDNMK6GSXGG,2022-11-07,,,,,
TLCG2HDNMK6GSXGG,2022-11-08,486.0,,419.0,,1.0
TLCG2HDNMK6GSXGG,2022-11-09,474.0,486.0,419.0,419.0,1.0
TLCG2FSKMK9HZKMS,2022-11-07,,,,,
TLCG2FSKMK9HZKMS,2022-11-08,259.0,,239.0,,1.0
TLCG2FSKMK9HZKMS,2022-11-09,259.0,259.0,239.0,239.0,1.0
TLCFY5HFXXUST39G,2022-11-07,,,,,
TLCFY5HFXXUST39G,2022-11-08,141.0,,339.0,,1.0
TLCFY5HFXXUST39G,2022-11-09,134.0,141.0,339.0,339.0,1.0
TLCG48JNFAY6Y8B7,2022-11-07,,,,,
TLCG48JNFAY6Y8B7,2022-11-08,217.0,,352.0,,1.0
TLCG48JNFAY6Y8B7,2022-11-09,217.0,217.0,351.0,352.0,1.0
TLCG2HDUGHHSZYM5,2022-11-07,,,,,
TLCG2HDUGHHSZYM5,2022-11-08,599.0,,527.0,,1.0
TLCG2HDUGHHSZYM5,2022-11-09,599.0,599.0,584.0,527.0,1.0
TLCG28Y8FCFMZMJT,2022-11-07,,,,,
TLCG28Y8FCFMZMJT,2022-11-08,182.0,,157.0,,1.0
TLCG28Y8FCFMZMJT,2022-11-09,182.0,182.0,121.0,157.0,1.0
TLCG2ZYYCHCG8UG7,2022-11-07,,,,,
TLCG2ZYYCHCG8UG7,2022-11-08,593.0,,696.0,,1.0
TLCG2ZYYCHCG8UG7,2022-11-09,593.0,593.0,696.0,696.0,1.0
TLCG2AGMXP4DZBCJ,2022-11-07,,,,,
TLCG2AGMXP4DZBCJ,2022-11-08,280.0,,,,1.0
TLCG2AGMXP4DZBCJ,2022-11-09,280.0,280.0,,,1.0
TLCFXFQ9SM3GMUTT,2022-11-07,,,,,
TLCFXFQ9SM3GMUTT,2022-11-08,237.0,,894.0,,1.0
TLCFXFQ9SM3GMUTT,2022-11-09,225.0,237.0,894.0,894.0,1.0
TLCG2S4RQXYSBYNA,2022-11-07,,,,,
TLCG2S4RQXYSBYNA,2022-11-08,799.0,,248.0,,1.0
TLCG2S4RQXYSBYNA,2022-11-09,799.0,799.0,327.0,248.0,1.0
TLCFZZUN6NVUGQHC,2022-11-07,,,,,
TLCFZZUN6NVUGQHC,2022-11-08,116.0,,164.0,,1.0
TLCFZZUN6NVUGQHC,2022-11-09,116.0,116.0,164.0,164.0,1.0
TLCG2S4VYWBGGMDC,2022-11-07,,,,,
TLCG2S4VYWBGGMDC,2022-11-08,799.0,,644.0,,1.0
TLCG2S4VYWBGGMDC,2022-11-09,799.0,799.0,644.0,644.0,1.0
TLCG28YBGHKUZWP9,2022-11-07,,,,,
TLCG28YBGHKUZWP9,2022-11-08,175.0,,188.0,,1.0
TLCG28YBGHKUZWP9,2022-11-09,175.0,175.0,188.0,188.0,1.0
TLCG2VXJYQVBVGG4,2022-11-07,,,,,
TLCG2VXJYQVBVGG4,2022-11-08,294.0,,334.0,,1.0
TLCG2VXJYQVBVGG4,2022-11-09,289.0,294.0,501.0,334.0,1.0
TLCFY5CQAFB5QNED,2022-11-07,,,,,
TLCFY5CQAFB5QNED,2022-11-08,427.0,,440.0,,1.0
TLCFY5CQAFB5QNED,2022-11-09,405.0,427.0,374.0,440.0,1.0
TLCGA5KZJCQQUF5D,2022-11-07,,,,,
TLCGA5KZJCQQUF5D,2022-11-08,379.0,,443.0,,1.0
TLCGA5KZJCQQUF5D,2022-11-09,359.0,379.0,337.0,443.0,1.0
TLCG3PEXMPFZ2GFG,2022-11-07,,,,,
TLCG3PEXMPFZ2GFG,2022-11-08,185.0,,,,1.0
TLCG3PEXMPFZ2GFG,2022-11-09,190.0,185.0,,,1.0
