,keyword,Aspect
0,value,Quality
1,money,Pricing
2,purchase,Pricing
3,regular,
4,summer season,
5,quantity,Quantity
6,product.,
7,product,Quality
8,price,Pricing
9,product money waste,Pricing
10,service,Pricing
11,delivery,Packaging
12,condition,
13,soap,
14,grip,Feature
15,everything,
16,hand.ğŸ˜ğŸ˜¤ğŸ˜¤,
17,orders,Pricing
18,flipkart,
19,rate,
20,mrp,
21,product waste,
22,one,
23,talc,Fragrance
24,cooling 1st,
25,ğŸ¯ğŸ’ğŸ’ğŸ’ğŸ’¯âœŒ,
26,season,
27,miracle,
28,heat,Feature
29,aboon,
30,heat rashes,Feature
31,threevapplication,
32,sarvice,
33,powder dabba powder,
34,dabba,
35,likhit,
36,packing,Packaging
37,company,Pricing
38,improvement,
39,lid,Packaging
40,powder,
41,fragrance,Fragrance
42,thats,
43,all,
44,nycil,
45,tins,
46,quality,Quality
47,product â˜¹ï¸ seller,Pricing
48,powder quantity,Quantity
49,packs,Quantity
50,customer,Pricing
51,way,
52,worth note,
53,terms,
54,weight,
55,market,
56,cooling body powder,
57,thanks,Pricing
58,shower,
59,need,
60,explanation,
61,item,Pricing
62,dust,
63,smell,Fragrance
64,brands,
65,go,
66,children,
67,prickles,
68,skin,
69,navratan,
70,talcum use,
71,258,
72,packaging,Packaging
